Regió,Ràtio (sancions per 1.000 habitants),Total sancions,Article 36.6 LOPSC,Article 68.B LSP,Pendent de qualificar,Article 36.6 LOPSC arxivades,Article 68.B LSP arxivades,Article 36.6 LOPSC en tràmit,Article 68.B LSP en tràmit,Article 36.6 LOPSC cobrades,Article 68.B LSP cobrades,Població
Central,18.7,9937,3678,6259,3406,26,423,250,5832,6,1162,530715
Girona,26.4,20223,6534,13689,6060,66,743,453,12901,19,1087,766681
Barcelona,13.5,22403,3629,18774,2394,349,729,935,17996,23,1935,1664182
Metropolitana Nord,24.7,54327,18608,35719,18010,49,2897,708,32663,73,2504,2195758
Metropolitana Sud,26.1,35658,12890,22768,12004,42,1979,876,20757,37,5075,1366442
Pirineu occidental,33.1,2412,107,2305,20,25,271,62,2034,33,1629,72913
Ponent,17,6254,316,5938,175,28,681,115,5255,4,463,367016
Tarragona,32,20396,5652,14744,5096,41,1076,529,13654,1,644,637198
Terres de l'Ebre,29.4,5287,289,4998,170,8,219,118,4772,15,1156,179574
Sense especificar,null,18,17,1,17,0,0,0,1,0,0,null
Total Catalunya,22.7,176915,51720,125195,47352,634,9018,4046,115865,211,15655,7780479